0,-1.0,-0.114,-0.192,1.88,-0.62,0.13,1.031,0.04,0.297,-3.01,-2.9,0.75
50,-1.001,-0.1,-0.186,1.17,0.13,0.79,1.031,0.056,0.3,-3.12,-3.43,0.55
100,-1.006,-0.113,-0.203,-1.33,-0.46,-1.29,1.032,0.051,0.296,-2.87,-2.82,0.4
150,-1.004,-0.093,-0.208,-1.23,-1.13,-1.29,1.03,0.043,0.295,-3.33,-2.56,0.82
200,-1.004,-0.13,-0.191,0.71,-1.37,-0.6,1.03,0.048,0.297,-4.0,-2.93,1.12
250,-0.999,-0.102,-0.2,-1.48,-0.69,-0.53,1.029,0.058,0.309,-2.81,-3.15,0.62
300,-1.003,-0.133,-0.188,0.41,-0.48,0.39,1.031,0.041,0.299,-0.68,-1.8,0.03
350,-1.006,-0.097,-0.196,-1.3,-0.76,1.48,1.031,0.053,0.293,-0.44,-2.66,0.48
400,-1.004,-0.117,-0.193,0.09,0.06,1.42,1.03,0.047,0.291,-2.08,-2.61,0.79
450,-1.009,-0.116,-0.197,-0.27,-0.22,-0.59,1.044,0.048,0.297,-2.55,-3.25,0.64
500,-1.0,-0.12,-0.197,-1.85,-0.7,-0.18,1.028,0.049,0.297,-1.85,-1.84,0.33
550,-0.991,-0.103,-0.193,1.76,-0.24,0.11,1.02,0.038,0.291,-3.45,-2.45,0.89
600,-0.99,-0.118,-0.191,-1.75,-0.13,0.55,1.041,0.05,0.302,-2.81,-2.7,0.68
650,-1.004,-0.111,-0.197,0.43,-0.86,-0.13,1.03,0.059,0.3,0.57,-2.33,-0.02
700,-1.001,-0.127,-0.202,-0.27,-0.56,0.46,1.027,0.049,0.284,-0.24,-2.49,0.61
750,-1.004,-0.09,-0.205,-0.28,-0.98,-0.22,1.028,0.041,0.291,-2.54,-3.04,0.64
800,-1.007,-0.124,-0.191,0.22,-0.61,-0.6,1.033,0.038,0.291,-1.36,-3.03,0.34
850,-0.997,-0.101,-0.2,-1.43,0.36,-0.77,1.036,0.054,0.298,-3.58,-3.41,0.75
900,-0.992,-0.111,-0.198,1.31,0.08,0.29,1.029,0.056,0.302,-1.69,-3.06,1.01
950,-0.989,-0.101,-0.204,-0.19,-0.05,0.06,1.023,0.042,0.291,-1.14,-2.74,0.84
1000,-0.999,-0.109,-0.205,0.19,-1.21,-0.53,1.029,0.032,0.29,-2.85,-2.16,0.67
1050,-0.997,-0.109,-0.204,0.28,-2.21,-1.04,1.03,0.055,0.295,-5.63,-2.46,0.56
1100,-0.996,-0.12,-0.193,2.34,-2.28,-1.4,1.029,0.068,0.298,-4.38,-2.9,1.01
1150,-1.011,-0.128,-0.188,-0.52,-1.03,-1.43,1.037,0.057,0.305,-0.82,-4.73,1.45
1200,-0.997,-0.111,-0.196,0.95,0.68,-0.32,1.021,0.041,0.302,1.83,-3.41,1.05
1250,-0.997,-0.112,-0.205,-0.42,0.13,0.3,1.033,0.038,0.287,-0.14,-1.46,0.32
1300,-0.986,-0.119,-0.205,-0.11,-0.93,-0.05,1.033,0.04,0.274,-4.46,-1.13,0.75
1350,-0.983,-0.113,-0.203,1.37,-2.68,-0.15,1.03,0.05,0.287,-7.87,-1.32,1.29
1400,-1.002,-0.114,-0.199,-0.97,-3.03,-0.24,1.033,0.054,0.292,-6.83,-1.48,1.6
1450,-1.013,-0.142,-0.188,0.92,-2.12,-1.4,1.042,0.049,0.308,-5.96,-3.69,1.37
1500,-1.011,-0.137,-0.184,-2.11,-1.03,0.05,1.019,0.06,0.313,-0.64,-2.82,0.55
-1,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.996,-0.114,-0.181,-1.65,-2.01,-1.46,1.028,0.052,0.295,-1.18,-3.03,0.71
50,-1.011,-0.129,-0.177,-0.16,-2.49,0.11,1.038,0.036,0.28,-0.83,-2.59,0.7
100,-1.005,-0.121,-0.165,-0.07,-1.47,0.66,1.032,0.05,0.281,-2.65,-3.17,0.73
150,-1.023,-0.106,-0.164,2.43,1.15,-0.24,1.028,0.049,0.282,-3.07,-2.12,0.53
200,-0.999,-0.13,-0.17,-1.72,1.92,-1.47,1.047,0.041,0.281,-4.13,-3.27,1.08
250,-0.979,-0.148,-0.2,0.33,0.58,-0.96,1.024,0.062,0.296,-2.22,-3.25,0.71
300,-0.98,-0.111,-0.19,0.5,-1.98,0.91,1.03,0.036,0.28,-1.49,-2.25,0.64
350,-0.993,-0.115,-0.17,1.54,-2.65,0.85,1.032,0.04,0.288,-4.6,-2.9,0.58
400,-1.003,-0.123,-0.172,-1.56,-2.89,-0.45,1.033,0.058,0.291,-3.66,-2.0,0.36
