0,-0.954,-0.34,0.18,-0.83,-1.25,0.5,-0.838,0.314,0.493,0.0,0.58,-1.24
50,-0.962,-0.33,0.176,0.19,-0.74,0.44,-0.837,0.317,0.486,-1.32,0.34,-1.31
100,-0.943,-0.311,0.166,0.49,-0.83,0.14,-0.839,0.322,0.483,-0.77,0.12,0.06
150,-0.933,-0.329,0.158,-1.91,-1.93,-0.67,-0.844,0.32,0.477,-1.09,-0.46,0.38
200,-0.945,-0.319,0.168,-3.54,-3.89,1.11,-0.825,0.336,0.492,0.16,-1.2,1.23
250,-0.954,-0.307,0.192,1.46,-3.01,1.27,-0.821,0.324,0.493,-0.29,-1.9,0.3
300,-0.964,-0.34,0.205,1.97,-1.12,0.82,-0.827,0.335,0.513,0.55,-2.59,-0.24
350,-0.956,-0.302,0.176,1.94,-0.07,0.19,-0.834,0.329,0.506,1.11,-1.1,-0.25
400,-0.972,-0.34,0.182,1.79,1.21,-0.74,-0.841,0.339,0.487,1.3,-0.78,-0.74
450,-0.968,-0.32,0.181,-0.05,1.69,-2.65,-0.844,0.322,0.489,1.29,0.2,0.01
500,-0.964,-0.316,0.185,0.05,1.51,-2.11,-0.842,0.311,0.476,-0.77,-1.13,2.52
550,-0.733,-0.25,0.104,9.74,-4.9,-4.61,-0.802,0.343,0.482,3.99,-7.71,7.32
600,0.76,0.519,-0.304,105.58,-88.1,-33.62,-0.652,0.357,0.46,15.14,-20.26,19.32
650,2.0,0.563,-0.671,249.69,-232.9,-23.36,-0.346,0.301,0.158,16.31,-33.66,46.46
700,1.023,-0.428,0.406,249.69,-252.2,211.0,-0.211,0.266,0.28,-1.15,-87.24,61.17
750,-0.247,1.173,1.597,249.69,-252.2,250.7,-0.23,0.096,0.455,-34.8,-121.86,72.6
800,-0.923,1.681,1.182,249.69,-162.45,250.7,-0.225,0.375,1.1,-111.58,-177.02,28.86
850,-1.458,2.0,1.673,239.55,-185.79,168.23,0.367,0.623,2.0,-72.1,-218.63,-80.24
900,-2.0,2.0,2.0,32.59,-167.0,-249.29,-0.152,0.444,2.0,17.87,-215.71,-156.63
950,-1.362,2.0,2.0,-231.31,205.72,-249.29,-1.481,-0.124,1.851,33.12,-154.91,-201.66
1000,2.0,2.0,1.478,-193.37,247.79,-249.29,-1.49,0.649,1.288,165.22,5.43,-120.99
1050,2.0,0.018,-1.62,-100.17,122.85,-249.29,-0.651,-0.335,-0.016,88.0,91.3,-140.7
1100,0.991,0.088,-0.123,10.16,-2.79,12.71,-0.492,0.119,0.111,-169.06,44.1,-39.83
1150,-0.349,0.206,0.22,29.87,0.52,49.35,-0.35,0.24,1.102,-26.07,-24.65,-14.69
1200,-0.917,0.103,0.136,-10.85,-53.59,25.72,-0.517,-0.28,1.028,-52.55,19.0,26.12
1250,-1.122,0.004,0.509,-10.37,-50.21,35.06,-0.379,0.318,1.149,-64.82,23.85,18.5
1300,-1.0,0.214,0.376,-19.48,-32.5,44.66,-0.479,0.195,1.104,-25.52,21.18,29.01
1350,-0.795,0.148,0.417,-20.93,-27.9,61.14,-0.523,0.096,1.01,-46.0,29.77,49.28
1400,-0.799,0.157,0.461,-58.07,-28.75,81.12,-0.501,0.046,1.023,-53.54,43.8,64.22
1450,-0.982,0.175,0.394,-86.42,-36.38,89.15,-0.486,0.091,1.129,-59.72,49.87,69.3
1500,-1.127,0.069,0.51,-117.86,-41.0,84.14,-0.484,0.163,1.149,-41.46,51.52,66.64
1550,-1.296,0.147,0.531,-118.82,-29.71,56.5,-0.526,0.154,1.136,-26.35,48.99,61.01
1600,-1.149,-0.248,0.501,-107.9,-17.35,47.98,-0.601,0.093,1.121,-26.41,50.89,50.19
1650,-1.095,0.045,0.472,-158.25,-12.49,48.13,-0.664,0.228,1.073,-11.88,65.11,50.02
1700,-1.103,0.107,0.425,-114.52,12.74,22.61,-0.655,0.208,0.898,14.68,79.36,42.06
1750,-0.991,0.019,0.389,-89.59,20.57,-4.36,-0.645,0.148,0.731,-1.93,80.82,33.69
1800,-0.941,-0.091,0.351,-86.21,16.42,-3.45,-0.657,0.221,0.725,-12.3,76.85,26.06
-1,0,0,0,0,0,0,0,0,0,0,0,0
