0,-0.954,-0.299,0.207,10.81,-2.98,-0.7,-0.886,0.266,0.389,-0.67,-2.3,-1.27
50,-0.956,-0.288,0.205,6.96,-4.13,-0.28,-0.886,0.273,0.397,-3.21,-1.39,-1.73
100,-0.953,-0.303,0.212,9.84,-2.89,-0.99,-0.875,0.27,0.375,-0.92,-1.15,-1.72
150,-0.947,-0.308,0.207,7.6,-3.02,-0.35,-0.89,0.282,0.387,-3.24,-2.57,-1.22
200,-0.961,-0.281,0.192,9.76,-3.83,0.18,-0.895,0.262,0.39,-0.23,-2.13,-2.17
250,-0.951,-0.3,0.211,8.21,-3.62,-1.45,-0.892,0.281,0.392,-3.76,-1.13,-1.47
300,-0.955,-0.286,0.196,7.9,-3.44,-1.44,-0.888,0.269,0.385,-0.6,-1.92,-1.25
350,-0.945,-0.305,0.206,11.33,-3.79,-1.09,-0.884,0.267,0.393,-1.96,-1.82,-0.2
400,-0.944,-0.278,0.187,9.6,-4.44,-0.4,-0.911,0.269,0.391,-1.07,-1.99,2.86
450,-0.965,-0.311,0.211,12.16,-7.82,-0.77,-0.972,0.124,0.375,-5.3,-3.25,11.94
500,-0.961,-0.349,0.227,21.5,5.03,3.36,-1.003,0.292,0.408,5.23,0.79,42.57
550,-0.738,-0.609,0.172,12.53,22.49,27.51,-1.066,-0.054,0.39,6.22,-12.69,46.4
600,-0.467,-0.612,0.127,11.18,12.87,82.05,-1.124,0.005,0.359,-17.55,-21.23,82.11
650,-0.358,-0.755,0.226,-12.17,0.58,123.88,-0.952,0.175,0.453,23.79,-35.95,126.77
700,-0.602,0.055,0.107,14.03,4.48,158.77,-0.559,0.054,0.456,60.3,-27.2,156.47
750,-0.851,0.371,0.188,70.94,30.02,162.36,-0.156,0.25,0.214,3.47,-21.54,160.0
800,-0.974,0.816,0.038,-54.05,16.83,124.78,0.007,0.974,0.278,25.69,-24.32,119.37
850,-1.297,1.215,-0.081,10.55,-35.75,45.37,-0.112,1.165,0.083,-25.72,-29.29,74.66
900,-1.385,0.366,0.251,26.23,-76.14,-18.46,-0.242,1.561,0.32,-46.36,-15.77,31.02
950,-1.554,0.53,0.502,-26.07,-82.97,-43.49,-0.209,1.43,0.655,-52.71,-1.74,-37.42
1000,-1.428,0.658,0.567,-9.57,-53.03,-81.16,-0.235,1.228,0.671,-57.57,18.92,-87.85
1050,-1.202,0.352,0.465,-31.12,-19.77,-107.01,-0.199,0.958,0.66,-19.17,20.63,-122.92
1100,-0.956,0.411,0.23,-28.57,7.47,-109.96,-0.247,0.701,0.692,7.91,19.23,-134.1
1150,-0.782,0.206,0.249,-0.54,17.23,-106.75,-0.391,0.365,0.603,1.36,15.38,-135.12
1200,-0.69,-0.114,0.384,2.65,0.71,-94.26,-0.687,0.286,0.598,-24.77,6.39,-121.2
1250,-0.7,-0.28,0.399,-12.73,17.09,-77.97,-0.906,0.208,0.573,3.43,16.82,-94.45
1300,-0.684,-0.331,0.206,15.11,23.28,-61.49,-0.991,0.072,0.448,6.97,25.83,-68.14
1350,-0.767,-0.449,0.178,28.67,9.36,-36.18,-0.958,0.123,0.429,-1.15,23.43,-46.65
1400,-0.806,-0.523,0.241,-3.21,4.88,-19.58,-0.965,0.129,0.408,1.79,18.86,-33.79
1450,-0.829,-0.369,0.221,-4.26,1.75,-10.54,-0.944,0.104,0.377,-5.31,14.93,-20.91
-1,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.965,-0.272,0.176,9.28,-2.93,-0.51,-0.915,0.17,0.391,-2.81,-2.8,-1.46
50,-0.971,-0.262,0.172,8.8,-3.37,-1.89,-0.918,0.177,0.4,-3.9,-1.64,-1.64
100,-0.971,-0.287,0.183,8.04,-3.96,-1.19,-0.917,0.179,0.401,-1.16,-1.6,-2.36
150,-0.967,-0.265,0.181,9.04,-2.82,-0.71,-0.912,0.163,0.388,-1.88,-0.2,-1.93
200,-0.961,-0.277,0.177,9.65,-2.63,-0.01,-0.903,0.173,0.384,-2.95,-0.9,-1.2
250,-0.958,-0.257,0.168,8.52,-3.19,-0.06,-0.908,0.159,0.379,-1.12,-2.32,-1.86
300,-0.969,-0.268,0.164,10.16,-3.7,-0.49,-0.91,0.171,0.392,-2.01,-2.83,-1.57
350,-0.967,-0.276,0.175,9.66,-4.57,-1.93,-0.922,0.163,0.383,-2.31,-3.97,-1.22
400,-0.974,-0.27,0.181,7.98,-5.44,-1.27,-0.922,0.18,0.405,-0.46,-2.92,-0.81
450,-0.962,-0.271,0.186,10.53,-3.45,-0.69,-0.919,0.159,0.392,-2.29,-2.13,-0.89
500,-0.959,-0.273,0.184,9.48,-3.81,0.35,-0.903,0.176,0.396,-2.3,-2.15,-1.25
550,-0.969,-0.272,0.171,10.06,-4.02,-0.22,-0.906,0.164,0.386,0.03,-2.64,-1.15
600,-0.969,-0.263,0.177,9.67,-4.5,-1.1,-0.906,0.175,0.392,-3.11,-3.02,-0.57
650,-0.971,-0.269,0.186,8.42,-4.89,-1.75,-0.92,0.18,0.398,-0.02,-2.8,-1.35
700,-0.973,-0.257,0.189,8.44,-4.43,-3.06,-0.908,0.161,0.378,-3.51,-1.0,-1.56
750,-0.975,-0.262,0.169,10.98,-5.39,-5.47,-0.909,0.175,0.386,-2.89,-1.61,-2.88
800,-1.03,-0.234,0.2,20.47,-0.71,-4.67,-1.106,0.005,0.392,-2.96,0.03,2.35
850,-0.752,-1.097,0.413,34.74,61.19,22.02,-1.337,-0.315,0.375,-9.15,-6.1,33.23
900,0.038,-1.169,0.133,-3.58,23.85,171.75,-1.496,-0.707,0.275,16.54,-33.34,154.35
950,-0.076,-0.295,0.314,-46.71,-3.84,219.95,-0.753,0.04,0.531,21.79,-9.85,249.83
1000,-0.643,0.808,0.132,-20.21,33.91,202.51,0.108,0.199,0.444,70.49,32.54,207.46
1050,-1.088,1.252,-0.187,-14.29,30.38,154.98,0.212,0.782,0.171,-9.07,-8.49,155.34
1100,-1.253,1.204,-0.065,2.48,-6.26,86.59,-0.006,1.195,0.19,-9.32,-28.31,107.54
1150,-1.522,1.276,0.049,38.3,-41.09,6.96,0.024,1.668,0.446,-30.94,-28.78,43.04
1200,-1.664,0.872,0.237,8.48,-50.56,-70.14,-0.307,1.862,0.569,-31.91,-17.07,-51.31
1250,-1.485,0.833,0.258,-0.61,-19.21,-119.4,-0.271,1.317,0.595,-34.08,11.33,-126.05
1300,-1.06,0.543,0.188,11.12,-11.13,-148.14,-0.265,0.9,0.449,-25.32,31.91,-165.16
1350,-0.717,0.166,0.104,-27.35,-7.82,-158.53,-0.381,0.442,0.347,4.22,31.76,-181.25
1400,-0.544,0.003,0.075,-17.06,-5.61,-147.81,-0.576,-0.042,0.294,0.49,30.44,-166.86
1450,-0.498,-0.162,0.147,9.38,-0.67,-115.5,-0.811,-0.167,0.335,-4.7,23.1,-124.84
1500,-0.584,-0.46,0.179,6.85,-3.47,-81.79,-0.964,-0.232,0.372,-4.65,2.97,-80.92
1550,-0.749,-0.518,0.178,-15.97,-12.55,-43.86,-1.072,-0.045,0.434,-16.89,-4.37,-37.97
1600,-0.835,-0.423,0.098,-4.81,-6.17,-16.89,-1.085,0.125,0.431,-16.86,-0.88,-15.54
1650,-0.908,-0.459,0.12,10.98,-6.34,-4.16,-1.072,0.134,0.391,-6.66,0.29,-6.34
1700,-0.945,-0.37,0.146,7.22,-6.81,3.52,-0.968,0.149,0.395,-4.9,3.83,-1.51
1750,-0.975,-0.311,0.124,8.13,-0.9,-0.67,-0.927,0.136,0.405,-2.15,1.8,-3.11
1800,-0.961,-0.365,0.124,8.57,0.48,-0.21,-0.905,0.105,0.358,2.58,3.44,1.07
-1,0,0,0,0,0,0,0,0,0,0,0,0
0,-0.969,-0.278,0.138,9.12,-2.6,-0.66,-0.908,0.213,0.376,-1.63,-1.54,-1.74
50,-0.965,-0.286,0.146,9.05,-3.1,-1.17,-0.91,0.204,0.359,-1.62,-2.03,-1.17
100,-0.966,-0.267,0.137,8.98,-2.99,-1.16,-0.896,0.208,0.361,-1.18,-2.71,-1.21
150,-0.966,-0.294,0.141,9.4,-4.15,-1.61,-0.918,0.199,0.366,-2.12,-3.91,-1.67
200,-0.977,-0.274,0.145,9.1,-4.63,-0.89,-0.92,0.203,0.372,-0.55,-2.72,-1.47
250,-0.973,-0.282,0.151,9.92,-3.36,-0.19,-0.917,0.201,0.38,-2.21,-2.0,-0.56
